Open,High,Low,Close,Adj Close,Volume
148.02999877929688,153.5800018310547,147.05999755859375,153.1199951171875,153.1199951171875,55661000
183.3800048828125,197.16000366210938,180.16000366210938,188.77000427246094,188.77000427246094,150475700
183.47000122070312,196.77000427246094,182.88999938964844,186.52999877929688,186.52999877929688,76809700
186.52999877929688,190.6999969482422,185.52000427246094,186.05999755859375,186.05999755859375,42483800
185.5800018310547,193.77999877929688,184.39999389648438,191.6199951171875,191.6199951171875,47080700
190.0,190.8300018310547,182.9199981689453,183.42999267578125,183.42999267578125,36139100
186.1300048828125,186.64999389648438,177.27000427246094,177.9199981689453,177.9199981689453,37118800
176.35000610351562,178.88999938964844,173.35000610351562,174.14999389648438,174.14999389648438,33433600
178.22000122070312,181.0,175.82000732421875,179.42999267578125,179.42999267578125,31463200
177.16000366210938,181.50999450683594,175.8800048828125,179.47999572753906,179.47999572753906,24034600
176.4199981689453,178.19000244140625,175.3300018310547,177.16000366210938,177.16000366210938,25308900
172.75,175.85000610351562,171.7899932861328,172.44000244140625,172.44000244140625,25827500
170.22000122070312,173.17999267578125,169.6999969482422,172.8800048828125,172.8800048828125,24171300
174.30999755859375,178.1699981689453,171.8800048828125,172.0800018310547,172.0800018310547,34592600
171.07000732421875,172.75999450683594,169.69000244140625,171.1199951171875,171.1199951171875,22433200
172.0,173.69000244140625,169.3800048828125,172.0399932861328,172.0399932861328,20017800
168.63999938964844,170.72000122070312,167.66000366210938,170.38999938964844,170.38999938964844,19791300
171.8800048828125,173.1199951171875,169.05999755859375,169.5399932861328,169.5399932861328,19277000
171.89999389648438,177.5500030517578,171.8699951171875,174.94000244140625,174.94000244140625,46051100
